region,type,os,price
eu-west-1,c3.2xlarge,linux,0.478
eu-west-1,c3.4xlarge,linux,0.956
eu-west-1,c3.8xlarge,linux,1.912
eu-west-1,g2.2xlarge,linux,0.702
eu-west-1,g2.8xlarge,linux,2.808
eu-west-1,r3.large,linux,0.185
eu-west-1,r3.xlarge,linux,0.371
eu-west-1,r3.2xlarge,linux,0.741
eu-west-1,r3.4xlarge,linux,1.482
eu-west-1,r3.8xlarge,linux,2.964
eu-west-1,i2.xlarge,linux,0.938
eu-west-1,i2.2xlarge,linux,1.876
eu-west-1,i2.4xlarge,linux,3.751
eu-west-1,i2.8xlarge,linux,7.502
eu-west-1,d2.xlarge,linux,0.735
eu-west-1,d2.2xlarge,linux,1.47
eu-west-1,d2.4xlarge,linux,2.94
eu-west-1,d2.8xlarge,linux,5.88
eu-central-1,t2.micro,linux,0.015
eu-central-1,t2.small,linux,0.03
eu-central-1,t2.medium,linux,0.06
eu-central-1,t2.large,linux,0.12
eu-central-1,m4.large,linux,0.143
eu-central-1,m4.xlarge,linux,0.285
eu-central-1,m4.2xlarge,linux,0.57
eu-central-1,m4.4xlarge,linux,1.14
eu-central-1,m4.10xlarge,linux,2.85
eu-central-1,m3.medium,linux,0.079
eu-central-1,m3.large,linux,0.158
eu-central-1,m3.xlarge,linux,0.315
eu-central-1,m3.2xlarge,linux,0.632
eu-central-1,c4.large,linux,0.134
eu-central-1,c4.xlarge,linux,0.267
eu-central-1,c4.2xlarge,linux,0.534
eu-central-1,c4.4xlarge,linux,1.069
eu-central-1,c4.8xlarge,linux,2.138
eu-central-1,c3.large,linux,0.129
eu-central-1,c3.xlarge,linux,0.258
eu-central-1,c3.2xlarge,linux,0.516
eu-central-1,c3.4xlarge,linux,1.032
eu-central-1,c3.8xlarge,linux,2.064
eu-central-1,g2.2xlarge,linux,0.772
eu-central-1,g2.8xlarge,linux,3.088
eu-central-1,r3.large,linux,0.2
eu-central-1,r3.xlarge,linux,0.4
eu-central-1,r3.2xlarge,linux,0.8
eu-central-1,r3.4xlarge,linux,1.6
eu-central-1,r3.8xlarge,linux,3.201
eu-central-1,i2.xlarge,linux,1.013
eu-central-1,i2.2xlarge,linux,2.026
eu-central-1,i2.4xlarge,linux,4.051
eu-central-1,i2.8xlarge,linux,8.102
eu-central-1,d2.xlarge,linux,0.794
eu-central-1,d2.2xlarge,linux,1.588
eu-central-1,d2.4xlarge,linux,3.176
eu-central-1,d2.8xlarge,linux,6.352
ap-southeast-1,t2.nano,linux,0.01
ap-southeast-1,t2.micro,linux,0.02
ap-southeast-1,t2.small,linux,0.04
ap-southeast-1,t2.medium,linux,0.08
ap-southeast-1,t2.large,linux,0.16
ap-southeast-1,m4.large,linux,0.178
ap-southeast-1,m4.xlarge,linux,0.355
ap-southeast-1,m4.2xlarge,linux,0.711
ap-southeast-1,m4.4xlarge,linux,1.421
ap-southeast-1,m4.10xlarge,linux,3.553
ap-southeast-1,m3.medium,linux,0.098
ap-southeast-1,m3.large,linux,0.196
ap-southeast-1,m3.xlarge,linux,0.392
ap-southeast-1,m3.2xlarge,linux,0.784
ap-southeast-1,c4.large,linux,0.144
ap-southeast-1,c4.xlarge,linux,0.289
ap-southeast-1,c4.2xlarge,linux,0.578
ap-southeast-1,c4.4xlarge,linux,1.155
ap-southeast-1,c4.8xlarge,linux,2.31
ap-southeast-1,c3.large,linux,0.132
ap-southeast-1,c3.xlarge,linux,0.265
ap-southeast-1,c3.2xlarge,linux,0.529
ap-southeast-1,c3.4xlarge,linux,1.058
ap-southeast-1,c3.8xlarge,linux,2.117
